trade_id,factor_id,coefficient,impact_value
1653,466,445352.75,6987.466110986932
1654,466,445352.75,32707.129006500414
1655,466,445352.75,8109.422491189625
1656,466,445352.75,9852.134215801596
1657,466,445352.75,13397.175286318346
3541,457,1340051.0,20660.447931176597
3542,457,1340051.0,13863.592665895261
3543,457,1340051.0,15348.83875269061
3544,457,1340051.0,34348.40903523144
3654,466,445352.75,20752.173635308918
4159,457,1340051.0,14202.38602633669
4160,457,1340051.0,17996.486069716077
4222,466,445352.75,5882.178925084279
4797,466,2521734.25,35512.39455979003
4798,466,2521734.25,335014.6924300539
4799,466,2521734.25,23313790.32432916
4800,466,2521734.25,205608.65508537408
4801,466,2521734.25,1830112386.831734
4802,466,2521734.25,163888.18086192125
4803,466,2521734.25,583164.3877100691
4804,466,2521734.25,223562.75243174605
5650,457,1340051.0,323180.2129324506
5651,457,1340051.0,4799404.42504229
5652,457,1340051.0,13843.145997818794
5653,457,1340051.0,46073457.81042625
5654,457,1340051.0,35426.56375520455
5655,457,1340051.0,65992.97214271248
5656,457,1340051.0,354930.1077232195
5657,457,1340051.0,41732.14332338112
5658,457,1340051.0,31717150.08484458
5659,457,1340051.0,14668.754895949123
5660,457,1340051.0,41400.70013945857
5661,457,1340051.0,6972365.89555931
5662,457,1340051.0,322478.7522708632
5663,457,1340051.0,7161624.682735515
5664,457,1340051.0,26402999.81213699
5665,457,1340051.0,25655.924818475865
5666,457,1340051.0,64573.17730766942
5667,457,1340051.0,120529.0456155747
5668,457,1340051.0,414773.9610059686
5669,457,1340051.0,97518406.3290449
5670,457,1340051.0,2133065.737341112
5671,457,1340051.0,162898.95391972282
5672,457,1340051.0,17171.841555770523
5673,457,1340051.0,163967.02675500902
5674,457,1340051.0,185589.42660027294
5675,457,1340051.0,123255.41643874129
5676,457,1340051.0,91774.74433027137
5677,457,1340051.0,75665.03353312997
5678,457,1340051.0,77475.49898039602
5679,457,1340051.0,824810.7888056432
5680,457,1340051.0,5756304.845318387
5681,457,1340051.0,87118.14436778783
5682,457,1340051.0,547703.2412165868
5683,457,1340051.0,1442497.4470982032
5684,457,1340051.0,3984009.4243244524
5685,457,1340051.0,116455361.553252
5686,457,1340051.0,896230.4767752975
5687,457,1340051.0,70559096.02481245
5688,457,1340051.0,617159.5178637964
5689,457,1340051.0,211030.86990341905
5690,457,1340051.0,2153910.2509880858
5691,457,1340051.0,105062.312326498
5692,457,1340051.0,1212680.406445605
5693,457,1340051.0,385947.2928828599
5694,457,1340051.0,1187319.2697603283
5695,457,1340051.0,1218898.212555223
5696,457,1340051.0,185027.5657542907
5697,457,1340051.0,6565261.478194792
5698,457,1340051.0,3934930.327421165
5699,457,1340051.0,2158073.603017191
5700,457,1340051.0,1211223.2334216852
5701,457,1340051.0,896285.4254526482
5702,457,1340051.0,103968.0617525168
5703,457,1340051.0,782624.5521431348
