trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_People,employment_Hours,employment_intensity
2510,2019,IN,IN,CONST,CONST,52878.07,2058334163.553,12.0,12.0,2058334163.553,9457917.425,2048876246.129,38926.04559
1138,2019,IN,IN,BITUM,BASIC,37608.28,1709271582.094,12.0,12.0,1709271582.094,6919451.191,1702352130.902,45449.342062
8465,2019,IN,IN,PADDY,PADDY,39823.7,1401228804.707,12.0,12.0,1401228804.707,5972510.084,1395256294.623,35185.801538
696,2019,IN,IN,BASIC,CONST,40111.81,1262683355.293,12.0,12.0,1262683355.293,4729421.152,1257953934.141,31479.091951
12435,2019,IN,IN,VEGET,FOOD5,41140.51,1227414797.728,12.0,12.0,1227414797.728,4627910.299,1222786887.429,29834.700584
8766,2019,IN,IN,PFERT,PFERT,30103.86,1076698423.923,12.0,12.0,1076698423.923,4711788.863,1071986635.06,35766.125139
11875,2019,IN,IN,TEXTI,TEXTI,26651.44,971511533.147,12.0,12.0,971511533.147,4984483.4,966527049.747,36452.496869
5453,2019,IN,IN,GASDI,LANDT,33106.93,960720164.53,12.0,12.0,960720164.53,5737267.977,954982896.553,29018.702868
551,2019,IN,IN,AUXIL,FINAN,31244.68,875182812.26,12.0,12.0,875182812.26,6223444.503,868959367.757,28010.61852
12871,2019,IN,IN,WHOLE,CONST,21383.1,791103052.252,12.0,12.0,791103052.252,3715324.711,787387727.54,36996.649328
2841,2019,IN,IN,CRUDE,GASDI,16566.52,712602398.395,12.0,12.0,712602398.395,2698856.061,709903542.334,43014.610093
4616,2019,IN,IN,FINAN,REALE,17984.09,680061167.188,12.0,12.0,680061167.188,3107097.356,676954069.832,37814.59986
5495,2019,IN,IN,GASDI,RAILW,21629.5,601264959.722,12.0,12.0,601264959.722,2933458.014,598331501.708,27798.375354
12983,2019,IN,IN,WHOLE,WHOLE,19974.57,600041834.168,12.0,12.0,600041834.168,2882049.599,597159784.569,30040.287935
4409,2019,IN,IN,FABRI,CONST,17966.38,534276393.432,12.0,12.0,534276393.432,3664164.447,530612228.984,29737.56502
1602,2019,IN,IN,CEMEN,CONST,21602.17,531811504.148,12.0,12.0,531811504.148,3544263.685,528267240.462,24618.429729
9157,2019,IN,IN,POSTT,POSTT,15566.22,519446274.504,12.0,12.0,519446274.504,3062170.399,516384104.105,33370.097204
7531,2019,IN,IN,MOTO1,MOTO1,14855.99,509767020.541,12.0,12.0,509767020.541,3053063.768,506713956.773,34313.904394
6278,2019,IN,IN,LANDT,CONST,16418.39,502155154.221,12.0,12.0,502155154.221,1795332.599,500359821.622,30584.920581
5179,2019,IN,IN,FOUND,CONST,11859.08,419957139.161,12.0,12.0,419957139.161,2254163.244,417702975.917,35412.286548
710,2019,IN,IN,BASIC,FABRI,9616.89,410131931.906,12.0,12.0,410131931.906,1482934.477,408648997.429,42647.044097
8955,2019,IN,IN,PLANT,TEXTI,11463.22,374375756.817,12.0,12.0,374375756.817,1665096.488,372710660.329,32658.865207
13009,2019,IN,IN,WOODW,CONST,9448.95,368274285.869,12.0,12.0,368274285.869,1928390.038,366345895.83,38975.154474
1678,2019,IN,IN,CERAM,CONST,12000.49,364556123.626,12.0,12.0,364556123.626,1489049.262,363067074.364,30378.436516
8473,2019,IN,IN,PADDY,PROCE,12208.37,361834688.056,12.0,12.0,361834688.056,1370199.603,360464488.453,29638.247207
738,2019,IN,IN,BASIC,MOTO1,9401.69,359899809.592,12.0,12.0,359899809.592,1099641.454,358800168.138,38280.331471
12973,2019,IN,IN,WHOLE,TEXTI,11247.17,359848410.479,12.0,12.0,359848410.479,2458396.703,357390013.776,31994.573789
10519,2019,IN,IN,RENTI,CONST,11004.03,350836288.949,12.0,12.0,350836288.949,1379664.745,349456624.204,31882.527488
10106,2019,IN,IN,RAWMI,DAIRY,11453.5,346562277.98,12.0,12.0,346562277.98,1890945.122,344671332.858,30258.198627
11110,2019,IN,IN,SALEM,LANDT,10818.9,328568055.503,12.0,12.0,328568055.503,1902417.623,326665637.879,30369.820916
731,2019,IN,IN,BASIC,MACHI,8734.04,315488883.684,12.0,12.0,315488883.684,1315445.496,314173438.188,36121.758509
2849,2019,IN,IN,CRUDE,MOTOR,10307.52,313859547.415,12.0,12.0,313859547.415,1551742.486,312307804.929,30449.569578
4533,2019,IN,IN,FINAN,CONST,9059.36,309550967.138,12.0,12.0,309550967.138,1235950.642,308315016.496,34169.187132
8762,2019,IN,IN,PFERT,PADDY,7363.25,302709956.783,12.0,12.0,302709956.783,1636975.926,301072980.857,41110.916617
1398,2019,IN,IN,BUSIN,CONST,9127.86,298997573.053,12.0,12.0,298997573.053,1264713.363,297732859.69,32756.590598
1416,2019,IN,IN,BUSIN,FINAN,8269.94,278963339.202,12.0,12.0,278963339.202,1311306.7,277652032.502,33732.20836
2418,2019,IN,IN,COMPU,COMPU,10860.37,274425507.885,12.0,12.0,274425507.885,1851597.159,272573910.726,25268.522885
12408,2019,IN,IN,VEGET,BEVER,8621.91,273825163.953,12.0,12.0,273825163.953,1330886.701,272494277.252,31759.223183
7639,2019,IN,IN,MOTOR,LANDT,7592.34,270494500.39,12.0,12.0,270494500.39,1407512.863,269086987.528,35627.290189
12891,2019,IN,IN,WHOLE,FISH5,8953.81,269406974.219,12.0,12.0,269406974.219,856382.511,268550591.707,30088.529265
7630,2019,IN,IN,MOTOR,GASDI,7531.42,263403658.012,12.0,12.0,263403658.012,823232.799,262580425.213,34973.970116
1386,2019,IN,IN,BUSIN,BUSIN,7764.77,259140999.054,12.0,12.0,259140999.054,1394415.294,257746583.76,33373.943987
5155,2019,IN,IN,FORES,WOODW,7248.24,252966352.246,12.0,12.0,252966352.246,1063725.61,251902626.636,34900.383023
6316,2019,IN,IN,LANDT,LANDT,7126.53,252831444.546,12.0,12.0,252831444.546,1293492.281,251537952.265,35477.496698
709,2019,IN,IN,BASIC,ELECT,6778.17,252583322.922,12.0,12.0,252583322.922,1194916.479,251388406.443,37264.235468
12837,2019,IN,IN,WHEAT,WHEAT,6946.06,245207838.874,12.0,12.0,245207838.874,1404447.976,243803390.898,35301.716207
8122,2019,IN,IN,NONME,CONST,9824.03,245140382.216,12.0,12.0,245140382.216,1922037.185,243218345.031,24953.138602
11688,2019,IN,IN,SUPPO,LANDT,6772.41,235275261.169,12.0,12.0,235275261.169,963987.3,234311273.869,34740.256595
2587,2019,IN,IN,CONST,PUBLI,6128.46,231371191.724,12.0,12.0,231371191.724,896972.525,230474219.199,37753.561535
10545,2019,IN,IN,RENTI,LANDT,6055.11,230702918.498,12.0,12.0,230702918.498,825188.138,229877730.36,38100.533021
3089,2019,IN,IN,DISTR,DISTR,7615.56,220676261.026,12.0,12.0,220676261.026,782241.884,219894019.141,28977.023492
7719,2019,IN,IN,NAPHT,ELEC1,10250.55,211327282.582,12.0,12.0,211327282.582,2252496.676,209074785.907,20616.189627
1877,2019,IN,IN,CHEM1,CHEM1,4405.17,210803499.358,12.0,12.0,210803499.358,750188.111,210053311.247,47853.658169
10945,2019,IN,IN,RUBBE,CONST,6892.95,207428959.863,12.0,12.0,207428959.863,911136.658,206517823.205,30092.915205
8724,2019,IN,IN,PFERT,CHEM1,4994.15,206717009.361,12.0,12.0,206717009.361,986219.35,205730790.01,41391.830314
8426,2019,IN,IN,OILSE,VEGE1,6522.35,205821855.951,12.0,12.0,205821855.951,1229777.928,204592078.023,31556.395463
12787,2019,IN,IN,WHEAT,FOOD5,7677.57,204036824.875,12.0,12.0,204036824.875,1764199.052,202272625.823,26575.703624
6380,2019,IN,IN,LANDT,TEXTI,7495.44,201338200.224,12.0,12.0,201338200.224,955774.801,200382425.423,26861.42511
2430,2019,IN,IN,COMPU,FINAN,6352.43,194106231.551,12.0,12.0,194106231.551,1162436.068,192943795.482,30556.217314
2169,2019,IN,IN,COKEO,BASIC,5085.33,187781133.8,12.0,12.0,187781133.8,894648.84,186886484.96,36926.046845
1474,2019,IN,IN,BUSIN,PUBLI,5424.37,182438200.615,12.0,12.0,182438200.615,614891.028,181823309.587,33633.067179
12848,2019,IN,IN,WHOLE,BASIC,5071.91,180912187.013,12.0,12.0,180912187.013,1047429.083,179864757.93,35669.439523
7654,2019,IN,IN,MOTOR,MOTOR,4685.97,176249352.508,12.0,12.0,176249352.508,552015.762,175697336.746,37612.13847
5088,2019,IN,IN,FORES,FORES,5540.83,172299734.453,12.0,12.0,172299734.453,987970.182,171311764.271,31096.376256
10770,2019,IN,IN,RETA1,TEXTI,4833.34,171101163.886,12.0,12.0,171101163.886,822603.802,170278560.084,35400.191976
715,2019,IN,IN,BASIC,FOUND,7229.47,170326336.865,12.0,12.0,170326336.865,1362737.687,168963599.178,23560.003273
